Variable,Index,Value,Bounds
flux,CAT,0.0,"[0.0, 1000.0]"
flux,SERASr,0.0,"[0, 1000.0]"
flux,DMSOR2,0.0,"[0.0, 1000.0]"
flux,ACMAMUT,0.0,"[0.0, 1000.0]"
flux,DDGALK,0.0,"[0.0, 1000.0]"
flux,AB6PGH,0.0,"[0.0, 1000.0]"
flux,AMALT1,0.0,"[0.0, 1000.0]"
flux,MLTP2,0.0,"[0, 1000.0]"
flux,PACCOAL,0.0,"[0.0, 1000.0]"
flux,GP4GH,0.0,"[0.0, 1000.0]"
flux,ACGAMT,0.0,"[0.0, 1000.0]"
flux,AADDGT,0.0,"[0.0, 1000.0]"
flux,EX_gbbtn_e,0.0,"[0, 1000.0]"
flux,EX_tma_e,0.0,"[0, 1000.0]"
flux,GMHEPK,0.0,"[0.0, 1000.0]"
flux,EX_malttr_e,0.0,"[0, 1000.0]"
flux,TRE6PS,0.0,"[0.0, 1000.0]"
flux,UDCPDP,0.020672994324511,"[0.0, 1000.0]"
flux,TREH,0.0,"[0.0, 1000.0]"
flux,CYTK1,0.134657909591172,"[0, 1000.0]"
flux,CYTK2,0.0,"[0, 1000.0]"
flux,GK1,0.180950448523181,"[0, 1000.0]"
flux,HACD1,0.26475835685213,"[0, 1000.0]"
flux,HACD2,0.26475835685213,"[0, 1000.0]"
flux,EX_hdcea_e,0.0,"[0, 1000.0]"
flux,ACACCT,0.0,"[0.0, 1000.0]"
flux,BUTCT,0.0,"[0.0, 1000.0]"
flux,2DGULRx,0.0,"[0.0, 1000.0]"
flux,G1PTT,0.0,"[0.0, 1000.0]"
flux,TDPGDH,0.0,"[0.0, 1000.0]"
flux,UDPGALM,0.0,"[0.0, 1000.0]"
flux,TDPDRE,0.0,"[0.0, 1000.0]"
flux,TDPDRR,0.0,"[0.0, 1000.0]"
flux,G3PD6,0.0,"[0.0, 1000.0]"
flux,ALLTN,0.0,"[0.0, 1000.0]"
flux,UAPGR,0.020672994324511,"[0.0, 1000.0]"
flux,NDPK7,0.0,"[0, 1000.0]"
flux,AOBUTDs,0.0,"[0.0, 1000.0]"
flux,GLYAT,0.0,"[0, 1000.0]"
flux,ADNUC,0.0,"[0.0, 1000.0]"
flux,GMHEPPA,0.0,"[0.0, 1000.0]"
flux,S7PI,0.0,"[0.0, 1000.0]"
flux,TRPS3,0.0422885783931258,"[0.0, 1000.0]"
flux,CRNBTCT,0.0,"[0, 1000.0]"
flux,CRNCBCT,0.0,"[0, 1000.0]"
flux,CRNCDH,0.0,"[0, 1000.0]"
flux,FADRx,1.62620165409549,"[0.0, 1000.0]"
flux,GTPDPK,0.0,"[0.0, 1000.0]"
flux,NADN,0.0,"[0.0, 1000.0]"
flux,NDPK2,0.0,"[0, 1000.0]"
flux,NDPK3,0.0,"[0, 1000.0]"
flux,NDPK4,0.0,"[0, 1000.0]"
flux,FCLT,0.000165901746594428,"[0.0, 1000.0]"
flux,HBZOPT,0.000165901746594428,"[0.0, 1000.0]"
flux,PNTK,0.00050142500988688,"[0.0, 1000.0]"
flux,DPCOAK,0.00050142500988688,"[0.0, 1000.0]"
flux,HETZK,0.0,"[0.0, 1000.0]"
flux,KDOPS,0.0289487388496967,"[0.0, 1000.0]"
flux,KDOPP,0.0289487388496967,"[0.0, 1000.0]"
flux,AST,0.0,"[0.0, 1000.0]"
flux,SGDS,0.0,"[0.0, 1000.0]"
flux,CYNTAH,0.0,"[0.0, 1000.0]"
flux,GSPMDA,0.0,"[0.0, 1000.0]"
flux,GSPMDS,0.0,"[0.0, 1000.0]"
flux,GUAD,0.0,"[0.0, 1000.0]"
flux,TMAOR1,0.0,"[0.0, 1000.0]"
flux,TMAOR2,0.0,"[0.0, 1000.0]"
flux,DGK1,0.0,"[0, 1000.0]"
flux,DTMPK,0.0194663009030932,"[0, 1000.0]"
flux,NDPK1,0.0,"[0, 1000.0]"
flux,TRDR,0.184115228926826,"[0.0, 1000.0]"
flux,PGMT,0.0,"[0, 1000.0]"
flux,FRUK,0.0,"[0.0, 1000.0]"
flux,RHCCE,0.000333291401230033,"[0.0, 1000.0]"
flux,KG6PDC,0.0,"[0.0, 1000.0]"
flux,X5PL3E,0.0,"[0.0, 1000.0]"
flux,DOGULNR,0.0,"[0.0, 1000.0]"
flux,BETALDHx,0.0,"[0.0, 1000.0]"
flux,BETALDHy,0.0,"[0.0, 1000.0]"
flux,MLTG3,0.0,"[0.0, 1000.0]"
flux,DKGLCNR1,0.0,"[0.0, 1000.0]"
flux,NADTRHD,0.0,"[0.0, 1000.0]"
flux,FMNRx2,0.0,"[0.0, 1000.0]"
flux,ACPS1,0.0,"[0.0, 1000.0]"
flux,EX_nmn_e,0.0,"[0, 1000.0]"
flux,EX_urea_e,0.0,"[0, 1000.0]"
flux,GMPS2,0.0,"[0.0, 1000.0]"
flux,AMPN,0.0,"[0.0, 1000.0]"
flux,GSNK,0.0,"[0.0, 1000.0]"
flux,EX_f6p_e,0.0,"[0, 1000.0]"
flux,ADCS,0.000497705239783132,"[0.0, 1000.0]"
flux,ADCL,0.000497705239783132,"[0.0, 1000.0]"
flux,DHAPT,0.0,"[0.0, 1000.0]"
flux,EX_lac__D_e,0.0,"[0, 1000.0]"
flux,UMPK,0.281243633994667,"[0, 1000.0]"
flux,DDPGALA,0.0,"[0, 1000.0]"
flux,DURIK1,0.0,"[0.0, 1000.0]"
flux,UPPRT,0.0,"[0.0, 1000.0]"
flux,CTPS2,0.119423219157267,"[0.0, 1000.0]"
flux,NTD1,0.0,"[0.0, 1000.0]"
flux,NTD7,0.0,"[0.0, 1000.0]"
flux,PAPPT3,0.020672994324511,"[0.0, 1000.0]"
flux,UAGPT3,0.020672994324511,"[0.0, 1000.0]"
flux,EX_ttdcea_e,0.0,"[0, 1000.0]"
flux,F6PA,0.0,"[0, 1000.0]"
flux,AGMHE,0.0,"[0.0, 1000.0]"
flux,GMHEPAT,0.0,"[0.0, 1000.0]"
flux,EX_h2s_e,0.0,"[0, 1000.0]"
flux,EX_gthrd_e,0.0,"[0, 1000.0]"
flux,IDOND,0.0,"[0, 1000.0]"
flux,IDOND2,0.0,"[0.0, 1000.0]"
flux,GLYCLTDx,0.0,"[0.0, 1000.0]"
flux,HPYRRy,0.0,"[0.0, 1000.0]"
flux,ACODA,0.220055647662148,"[0.0, 1000.0]"
flux,ADA,0.0,"[0.0, 1000.0]"
flux,DADA,0.0,"[0.0, 1000.0]"
flux,ADD,0.0,"[0.0, 1000.0]"
flux,ADSS,0.222668414182284,"[0.0, 1000.0]"
flux,AGDC,0.0,"[0.0, 1000.0]"
flux,ASNN,0.0,"[0.0, 1000.0]"
flux,ASNS2,0.179333836436411,"[0.0, 1000.0]"
flux,ASPCT,0.246096270245308,"[0.0, 1000.0]"
flux,DMPPS,0.000206819217727582,"[0.0, 1000.0]"
flux,MCOATA,0.0579004535154759,"[0, 1000.0]"
flux,IPDPS,0.00157048693749254,"[0.0, 1000.0]"
flux,DAPE,0.275968999988593,"[0, 1000.0]"
flux,DHDPRy,0.275968999988593,"[0.0, 1000.0]"
flux,HSK,0.404871681276381,"[0.0, 1000.0]"
flux,SDPTA,0.0,"[0, 1000.0]"
flux,THRS,0.404871681276381,"[0.0, 1000.0]"
flux,HSST,0.114502707265,"[0.0, 1000.0]"
flux,PPNDH,0.13782864162698,"[0.0, 1000.0]"
