Variable,Index,Value
flux,rxn01647_c0,0.0
flux,rxn01648_c0,0.0
flux,rxn01649_c0,1000.0
flux,rxn01650_c0,0.0
flux,rxn01652_c0,0.0
flux,rxn01653_c0,0.0
flux,rxn01654_c0,0.0
flux,rxn01662_c0,0.0
flux,rxn01666_c0,0.0
flux,rxn01667_c0,0.0
flux,rxn01668_c0,0.0
flux,rxn01669_c0,0.0
flux,rxn01670_c0,0.0
flux,rxn01671_c0,0.0
flux,rxn01672_c0,0.0
flux,rxn01673_c0,0.015741402669164017
flux,rxn01674_c0,0.0
flux,rxn01675_c0,0.008522893246663443
flux,rxn01677_c0,0.0
flux,rxn01678_c0,0.0
flux,rxn01679_c0,0.0
flux,rxn01682_c0,0.03332747617764653
flux,rxn01683_c0,-1000.0
flux,rxn01684_c0,0.0
flux,rxn01685_c0,0.0
flux,rxn01692_c0,1000.0
flux,rxn01693_c0,-1000.0
flux,rxn01697_c0,0.0
flux,rxn01702_c0,0.0
flux,rxn01705_c0,0.0
flux,rxn01706_c0,0.0
flux,rxn01709_c0,0.0
flux,rxn01710_c0,0.0
flux,rxn01721_c0,0.0
flux,rxn01729_c0,0.0
flux,rxn01731_c0,1000.0
flux,rxn01732_c0,-1000.0
flux,rxn01733_c0,-1000.0
flux,rxn01735_c0,0.0
flux,rxn01739_c0,0.21698567315835457
flux,rxn01740_c0,999.7830143268416
flux,rxn01741_c0,0.0
flux,rxn01742_c0,0.0
flux,rxn01747_c0,0.0
flux,rxn01748_c0,0.0
flux,rxn01757_c0,0.0
flux,rxn01761_c0,0.0
flux,rxn01763_c0,0.0
flux,rxn01775_c0,0.0
flux,rxn01782_c0,0.0
flux,rxn01786_c0,0.0
flux,rxn01790_c0,0.0
flux,rxn01791_c0,0.0
flux,rxn01793_c0,1000.0
flux,rxn01794_c0,-1000.0
flux,rxn01795_c0,0.0
flux,rxn01799_c0,0.0
flux,rxn01800_c0,0.0
flux,rxn01802_c0,0.0
flux,rxn01807_c0,0.0
flux,rxn01808_c0,0.0
flux,rxn01812_c0,0.0
flux,rxn01816_c0,-0.21675085411607142
flux,rxn01828_c0,0.0
flux,rxn01829_c0,0.0
flux,rxn01831_c0,1000.0
flux,rxn01834_c0,0.0
flux,rxn01835_c0,-1000.0
flux,rxn01840_c0,-1000.0
flux,rxn01841_c0,1000.0
flux,rxn01851_c0,0.0
flux,rxn01857_c0,0.0
flux,rxn01858_c0,0.0
flux,rxn01859_c0,0.0
flux,rxn01867_c0,1000.0
flux,rxn01868_c0,-1000.0
flux,rxn01870_c0,0.11567344571790272
flux,rxn01871_c0,0.7704169267956331
flux,rxn01872_c0,0.0
flux,rxn01873_c0,0.0
flux,rxn01879_c0,0.0
flux,rxn01883_c0,0.0
flux,rxn01887_c0,0.0
flux,rxn01902_c0,0.0
flux,rxn01906_c0,0.0
flux,rxn01911_c0,1000.0
flux,rxn01912_c0,-1000.0
flux,rxn01917_c0,0.0
flux,rxn01918_c0,0.0
flux,rxn01923_c0,0.0
flux,rxn01925_c0,0.0
flux,rxn01932_c0,0.0
flux,rxn01937_c0,-1000.0
flux,rxn01939_c0,0.0
flux,rxn01943_c0,-1000.0
flux,rxn01944_c0,1000.0
flux,rxn01947_c0,0.0
flux,rxn01951_c0,0.0
flux,rxn01953_c0,0.0
flux,rxn01961_c0,0.0
flux,rxn01962_c0,0.0
flux,rxn01964_c0,0.0
flux,rxn01966_c0,0.0
flux,rxn01967_c0,0.0
flux,rxn01968_c0,0.0
flux,rxn01972_c0,0.0
flux,rxn01973_c0,0.204722101282254
flux,rxn01974_c0,0.20472210128230017
flux,rxn01975_c0,0.0
flux,rxn01977_c0,-1000.0
flux,rxn01982_c0,0.0
flux,rxn01983_c0,1000.0
flux,rxn01985_c0,0.0
flux,rxn01986_c0,0.0
flux,rxn01987_c0,0.0
flux,rxn01989_c0,0.0
flux,rxn01990_c0,0.0
flux,rxn01993_c0,0.0
flux,rxn01997_c0,0.0085228932466842
flux,rxn02004_c0,0.0
flux,rxn02005_c0,0.0
flux,rxn02008_c0,0.0085228932466842
flux,rxn02009_c0,0.0
flux,rxn02011_c0,0.0085228932466842
flux,rxn02012_c0,0.0
flux,rxn02021_c0,0.0
flux,rxn02028_c0,0.0
flux,rxn02041_c0,0.0
flux,rxn02046_c0,0.0
flux,rxn02056_c0,-0.0020926615778762425
flux,rxn02058_c0,0.0
flux,rxn02061_c0,0.0
flux,rxn02078_c0,0.0
flux,rxn02090_c0,0.0
flux,rxn02093_c0,0.0
flux,rxn02094_c0,0.0
flux,rxn02100_c0,0.0
flux,rxn02106_c0,0.0
flux,rxn02107_c0,0.0
flux,rxn02122_c0,0.0
flux,rxn02128_c0,0.0
flux,rxn02138_c0,0.0
flux,rxn02141_c0,0.0
flux,rxn02142_c0,0.0
flux,rxn02154_c0,0.0
flux,rxn02155_c0,0.004185323155752485
flux,rxn02159_c0,0.05054579362945333
flux,rxn02160_c0,0.050545793629451816
flux,rxn02161_c0,0.0
flux,rxn02166_c0,0.0
flux,rxn02167_c0,-1000.0
flux,rxn02168_c0,1000.0
flux,rxn02173_c0,0.0
flux,rxn02175_c0,0.004185323155752485
flux,rxn02176_c0,0.0
flux,rxn02177_c0,0.0
flux,rxn02181_c0,0.0
flux,rxn02185_c0,0.0
flux,rxn02186_c0,0.0
