Model,Organism,Run ID,Status,Unique Reactions,Unique Genes,Unique Metabolites,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),CPI-Pred Coverage (%),COBRA Biomass,Initial EC Biomass,Initial Biomass,Final Biomass,Biomass Improvement (%),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,N kcat Increased,N kcat Decreased,SA Iterations,Time Data Prep (s),Time Optimization (s),Time SA (s),Time Total Pipeline (s),Time Total Pipeline (hr),SLURM Job ID,SLURM Node,SLURM CPUs,SLURM Mem Requested (GB),SLURM Mem Used (MB),SLURM Walltime (s),Enzyme Upper Bound,Biomass Reaction
iECP_1309,E coli,iECP_1309_20260310_1410,Complete,3769,1309,1941,1309,0,11175,296.5,0.982478,0.074633,0.074633,0.91165,1121.5106,21534.23,65184.42,1.0,3351.0,0.0,114,32.3,2.6,904.6,941.3,0.261,26948215,fc20639,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECS88_1305,E coli,iECS88_1305_20260310_8325,Complete,3756,1305,1942,1305,0,11127,296.25,0.982478,0.074547,0.074547,0.911725,1123.0204,21048.67,63714.09,1.0,3310.0,0.0,118,28.9,2.6,868.3,902.3,0.251,26948216,fc30423,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECSE_1348,E coli,iECSE_1348_20260310_7165,Complete,3804,1348,1957,1348,0,11368,298.84,0.982478,0.073291,0.073291,0.907289,1137.9269,21015.53,63134.13,1.0,3359.0,0.0,146,33.3,2.5,1035.4,1073.0,0.298,26948218,fc30453,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECSF_1327,E coli,iECSF_1327_20260310_2873,Complete,3773,1327,1951,1327,0,11204,296.95,0.982478,0.075896,0.075896,0.911351,1100.7892,21346.77,60176.89,1.0,3307.0,0.0,107,41.8,2.9,944.0,990.7,0.275,26948223,fc20652,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECSP_1301,E coli,iECSP_1301_20260310_5872,Complete,3736,1299,1920,1299,0,11104,297.22,0.982478,0.074477,0.074477,0.909288,1120.8977,21107.23,67024.32,1.0,3303.0,0.0,112,34.4,2.7,956.4,995.9,0.277,26948227,fc30109,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECUMN_1333,E coli,iECUMN_1333_20260310_7096,Complete,3771,1332,1935,1332,0,11229,297.77,0.982692,0.073857,0.073857,0.911355,1133.9453,21149.0,61740.27,1.0,3287.0,0.0,113,35.0,2.8,994.0,1033.8,0.287,26948232,fc30114,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECW_1372,E coli,iECW_1372_20260310_5540,Complete,3815,1372,1973,1372,0,11329,296.96,0.982478,0.073842,0.073842,0.911445,1134.3179,20786.13,51880.39,1.0,3111.0,0.0,105,34.1,2.7,835.0,873.7,0.243,26948244,fc30151,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iECs_1301,E coli,iECs_1301_20260310_2756,Complete,3744,1301,1923,1301,0,11129,297.25,0.982478,0.074902,0.074902,0.904602,1107.7141,21027.62,67456.43,1.0,3352.0,0.0,116,43.0,2.8,1081.3,1129.3,0.314,26948259,fc30166,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEK1008,M tuberculosis,iEK1008_20260310_8974,Complete,1605,1008,998,1008,0,13321,829.97,0.058174,0.032285,0.032285,0.058174,80.1889,11122.13,11645.01,1.0,435.0,0.0,86,12.9,92.2,8276.3,8386.6,2.33,26948263,fc30223,4,32,,,0.25,BIOMASS__2
iEKO11_1354,E coli,iEKO11_1354_20260310_9353,Complete,3813,1354,1972,1354,0,11394,298.82,0.982478,0.074003,0.074003,0.912732,1133.3716,21636.08,58406.36,1.0,3265.0,0.0,132,36.3,2.9,1137.0,1178.6,0.327,26948265,fc30229,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iETEC_1333,E coli,iETEC_1333_20260310_5041,Complete,3791,1333,1962,1333,0,11333,298.94,0.982478,0.07317,0.07317,0.90313,1134.29,20427.69,58517.82,1.0,3300.0,0.0,102,30.1,2.4,767.6,801.8,0.223,26948269,fc30239,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEcDH1_1363,E coli,iEcDH1_1363_20260310_3692,Complete,3781,1363,1949,1363,0,11371,300.74,0.982478,0.072767,0.072767,0.909501,1149.8811,20737.87,56325.83,1.0,3285.0,0.0,108,36.8,2.9,971.6,1013.5,0.282,26948274,fc30324,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEcE24377_1341,E coli,iEcE24377_1341_20260310_9337,Complete,3796,1341,1972,1341,0,11279,297.13,0.982478,0.073929,0.073929,0.912465,1134.245,20735.2,60276.76,1.0,3303.0,0.0,132,31.0,2.8,1042.5,1078.4,0.3,26948289,fc20632,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEcHS_1320,E coli,iEcHS_1320_20260310_1089,Complete,3784,1321,1963,1321,0,11208,296.19,0.982478,0.070134,0.070134,0.91976,1211.4324,20280.8,62270.28,1.0,3292.0,0.0,114,26.2,2.2,737.0,767.3,0.213,26948293,fc30257,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEcSMS35_1347,E coli,iEcSMS35_1347_20260310_5947,Complete,3775,1347,1947,1347,0,11300,299.34,0.982478,0.074138,0.074138,0.917213,1137.1699,21069.83,63387.79,1.0,3361.0,0.0,98,27.0,2.2,647.9,678.6,0.189,26948297,fc30257,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iEcolC_1368,E coli,iEcolC_1368_20260310_4013,Complete,3799,1368,1969,1368,0,11403,300.16,0.982478,0.071736,0.071736,0.919636,1181.9728,20458.75,57330.75,1.0,3294.0,0.0,132,36.3,3.0,1256.3,1297.8,0.36,26948302,fc30333,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iG2583_1286,E coli,iG2583_1286_20260310_2095,Complete,3730,1283,1919,1283,0,11044,296.09,0.982478,0.075037,0.075037,0.907967,1110.0257,21148.42,71776.28,1.0,3362.0,0.0,153,33.8,2.7,1234.3,1272.7,0.354,26948305,fc30336,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iHN637,Clostridium,iHN637_20260310_2711,Complete,1077,637,698,637,0,3136,291.18,0.224455,0.171563,0.171563,0.224455,30.8295,19788.89,23141.97,1.0,204.0,4.0,83,9.5,0.5,43.0,54.5,0.015,26948306,fc30257,4,32,,,0.25,BIOMASS_Cl_DSM_WT_46p666M1
iIS312,T cruzi,iIS312_20260310_9572,Complete,826,312,606,312,0,2229,269.85,50.678073,0.267967,0.267967,16.823691,6178.2697,10515.26,13518.49,1.0,242.0,0.0,210,8.9,0.3,116.7,133.3,0.037,26948307,fc30324,4,32,,,0.25,BIOMASS_t_cruzi
iIS312_Amastigote,T cruzi,iIS312_Amastigote_20260310_7829,Complete,803,312,606,312,0,2173,270.61,25.339036,0.079077,0.079077,6.468717,8080.2762,10369.65,12480.07,1.0,257.0,0.0,226,6.6,0.4,96.3,105.9,0.029,26948308,fc30325,4,32,,,0.25,BIOMASS_t_cruzi
iIS312_Epimastigote,T cruzi,iIS312_Epimastigote_20260310_2491,Complete,824,312,606,312,0,2226,270.15,50.678073,0.267967,0.267967,16.820083,6176.9233,10479.65,13549.63,1.0,242.0,0.0,226,4.3,0.3,122.8,129.7,0.036,26948310,fc30330,4,32,,,0.25,BIOMASS_t_cruzi
iIS312_Trypomastigote,T cruzi,iIS312_Trypomastigote_20260310_7548,Complete,810,312,606,312,0,2212,273.09,53.03633,0.248677,0.248677,22.516589,8954.5523,10220.13,10839.62,1.0,202.0,0.0,226,4.3,0.5,102.7,109.8,0.03,26948311,fc20568,4,32,,,0.25,BIOMASS_trypo
iIT341,H pylori,iIT341_20260310_2590,Complete,796,339,485,339,0,1878,235.93,0.692813,0.19415,0.19415,0.610604,214.5012,16839.62,21846.0,1.0,194.0,0.0,167,12.3,0.5,65.4,80.3,0.022,26948312,fc20607,4,32,,,0.25,BIOMASS_HP_published
iJB785,Synechococcus,iJB785_20260310_4493,Complete,1088,785,768,785,0,3707,340.72,0.053903,0.053902,0.053902,0.053902,0.0,21051.89,21051.89,1.0,0.0,0.0,1,7.7,0.4,0.4,10.8,0.003,26948313,fc20630,4,32,,,0.25,BIOMASS__1
iJN1463,Pseudomonas,iJN1463_20260310_1659,Complete,4038,1462,2153,1462,0,11774,291.58,0.586118,0.157549,0.157549,0.585755,271.7923,17599.71,20578.65,1.0,923.0,0.0,144,32.8,2.7,519.2,558.6,0.155,26948314,fc20632,4,32,,,0.25,BIOMASS_KT2440_WT3
iJN678,Synechocystis,iJN678_20260310_2821,Complete,1122,622,795,622,0,4053,361.23,0.06315,0.062494,0.062494,0.06315,1.0497,15423.96,15779.97,1.0,185.0,91.0,4,8.8,0.8,3.3,15.2,0.004,26948315,fc30330,4,32,,,0.25,BIOMASS_Ec_SynHetero
iJO1366,E coli,iJO1366_20260310_3568,Complete,3518,1367,1805,1367,0,10926,310.57,0.982372,0.070629,0.070629,0.907848,1185.3757,20668.23,54167.04,1.0,3079.0,0.0,106,31.0,2.5,853.2,888.8,0.247,26948317,fc20607,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iJR904,E coli,iJR904_20260310_5094,Complete,1467,904,761,904,0,4458,303.89,0.921948,0.117408,0.117408,0.498356,324.4651,21249.33,25264.26,1.0,407.0,0.0,115,9.7,0.9,116.6,128.8,0.036,26948318,fc20630,4,32,,,0.25,BIOMASS_Ecoli
iLB1027_lipid,Phaeodactylum,iLB1027_lipid_20260310_4850,Complete,4954,1027,2172,1027,0,16947,342.09,0.359607,0.04803,0.04803,0.359607,648.7133,10117.6,100300.85,10.7686,2160.0,83.0,27,64.8,3.1,639.4,709.6,0.197,26948319,fc20633,4,32,,,0.25,DM_biomass_c
iLF82_1304,E coli,iLF82_1304_20260310_9781,Complete,3759,1302,1938,1302,0,11117,295.74,0.982478,0.075337,0.075337,0.912091,1110.6813,21750.82,63920.69,1.0,3300.0,0.0,112,44.5,2.7,874.9,923.9,0.257,26948320,fc30468,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iLJ478,Thermotoga,iLJ478_20260310_9764,Complete,918,482,570,482,0,3072,334.64,0.228407,0.131613,0.131613,0.228407,73.5444,18648.99,20812.77,1.0,229.0,11.0,23,5.9,0.4,12.6,21.0,0.006,26948321,fc30134,4,32,,,0.25,BIOMASS_Ecoli_TM
iML1515,E coli,iML1515_20260310_2065,Complete,3682,1516,1877,1516,0,11789,320.18,0.876997,0.023131,0.023131,0.782271,3281.916,20781.53,54309.47,1.0,3202.0,0.0,122,33.0,2.7,1031.1,1068.8,0.297,26948322,fc30145,4,32,,,0.25,BIOMASS_Ec_iML1515_core_75p37M
iMM904,Yeast,iMM904_20260310_8472,Complete,2230,905,1226,905,0,6804,305.11,0.287866,0.02714,0.02714,0.234719,764.8452,14680.36,16383.71,1.0,432.0,0.0,108,15.8,1.3,166.8,186.3,0.052,26948325,fc30214,4,32,,,0.25,BIOMASS_SC5_notrace
iND750,Yeast,iND750_20260310_2078,Complete,1815,750,1059,750,0,5194,286.17,0.097323,0.042319,0.042319,0.097323,129.9747,14782.66,17217.11,1.0,457.0,5.0,46,12.6,0.8,48.8,64.5,0.018,26948326,fc30219,4,32,,,0.25,BIOMASS_SC4_bal
iNJ661,M tuberculosis,iNJ661_20260310_9133,Complete,1366,661,825,661,0,4346,318.16,0.05255,0.05255,0.05255,0.05255,0.0,13033.18,13033.18,1.0,0.0,0.0,1,10.7,0.6,1.2,14.7,0.004,26948328,fc30230,4,32,,,0.25,BIOMASS_Mtb_9_60atp
iNRG857_1313,E coli,iNRG857_1313_20260310_3684,Complete,3768,1311,1943,1311,0,11181,296.74,0.982478,0.076426,0.076426,0.919908,1103.6584,21718.54,61153.13,1.0,3300.0,0.0,109,33.1,2.7,923.3,961.1,0.267,26948329,fc30306,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSB619,S aureus,iSB619_20260310_8363,Complete,1036,619,655,619,0,3757,362.64,0.15805,0.000186,0.000186,0.001102,492.4731,17605.87,20136.24,1.0,280.0,1.0,168,7.6,0.7,117.2,127.8,0.035,26948333,fc30330,4,32,,,0.25,BIOMASS_SA_8a
iSBO_1134,E coli,iSBO_1134_20260310_3393,Complete,3597,1134,1908,1134,0,10071,279.98,0.39988,0.060091,0.060091,0.399881,565.4591,21576.77,55251.69,1.0,3019.0,164.0,80,33.9,2.7,634.9,674.2,0.187,26948334,fc20554,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iSDY_1059,E coli,iSDY_1059_20260310_5668,Complete,3540,1059,1888,1059,0,8834,249.55,0.93789,0.095896,0.095896,0.807077,741.617,20551.15,50762.44,1.0,2271.0,0.0,140,28.9,2.2,689.5,722.8,0.201,26948335,fc20568,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
